Date,dayNumber,positive,totalTestResults,death,positiveIncrease,totalTestResultsIncrease,deathIncrease
12/26/2021,117,896403,4288555,10077,1902,3214,2
12/27/2021,118,902783,4298115,10169,6380,9560,92
12/28/2021,119,910128,4306787,10198,7345,8672,29
12/29/2021,120,919112,4321115,10240,8984,14328,42
12/30/2021,121,929275,4333271,10271,10163,12156,31
12/31/2021,122,938644,4345927,10293,9369,12656,22
01/01/2022,123,947048,4357043,10293,8404,11116,0
01/02/2022,124,954499,4364944,10293,7451,7901,0
01/03/2022,125,962777,4370995,10335,8278,6051,42
01/04/2022,126,971525,4384043,10354,8748,13048,19
01/05/2022,127,979437,4400629,10402,7912,16586,48
01/06/2022,128,989409,4413634,10425,9972,13005,23
01/07/2022,129,998163,4427214,10462,8754,13580,37
01/08/2022,130,1028965,4440018,10466,30802,12804,4
01/09/2022,131,1040510,4452862,10466,11545,12844,0
01/10/2022,132,1062568,4469913,10528,22058,17051,62
01/11/2022,133,1075115,4482210,10552,12547,12297,24
01/12/2022,134,1089494,4496390,10582,14379,14180,30
01/13/2022,135,1103720,4509634,10616,14226,13244,34
01/14/2022,136,1118458,4524737,10653,14738,15103,37
01/15/2022,137,1127304,4534673,10653,8846,9936,0
01/16/2022,138,1133675,4542692,10659,6371,8019,6
01/17/2022,139,1146740,4556191,10662,13065,13499,3
